name,region_length,reads,cpm_evseq,fpkm_evseq,ev_abundance,gene_id,count,cpm_srr,fpkm_srr,srr_abundance
YLR154W-F,141,2296,1342.570718860078,2177.098679,preferentially_represented,YLR154W-F,10336,2586.6610275320736,18476.15019665767,preferentially_represented
YLR154W-A,186,2975,1739.611449742479,2138.451323,preferentially_represented,YLR154W-A,9910,2480.051352829223,13405.682988266071,preferentially_represented
YLR154W-B,165,2568,1501.620908550819,2080.829127,preferentially_represented,YLR154W-B,3307,827.6013949350394,5046.349969116094,preferentially_represented
YLR154C-G,150,2226,1301.6386847484903,1984.080296,preferentially_represented,YLR154C-G,11547,2889.7228023329003,19394.1127673349,preferentially_represented
YBR095C,1293,18307,10704.896406869098,1892.971171,preferentially_represented,YBR095C,27,6.756951213560951,5.229838400588971,not_preferentially_represent
YBR094W,2262,29375,17176.83574325557,1736.24344,preferentially_represented,YBR094W,76,19.019566378912305,8.412015205180143,not_preferentially_represent
YGL082W,1146,14635,8557.718846044094,1707.392826,preferentially_represented,YGL082W,87,21.772398354807507,19.01519506970088,not_preferentially_represent
YLR154W-E,204,2564,1499.2819351730138,1680.402026,preferentially_represented,YLR154W-E,2028,507.5221133741336,2500.1089328775056,not_preferentially_represent
YNR073C,1509,17880,10455.210998788412,1584.176687,preferentially_represented,YNR073C,2,0.5005149047082186,0.33190643548290355,not_preferentially_represent
YNL050C,904,10459,6115.83063961566,1546.84599,preferentially_represented,YNL050C,32,8.008238475331497,8.86848114654651,not_preferentially_represent
YBR096W,693,7953,4650.463818420819,1534.345242,preferentially_represented,YBR096W,401,100.35323839399783,145.0191306271645,not_preferentially_represent
YNL051W,1212,12855,7516.875692920863,1418.060645,preferentially_represented,YNL051W,17,4.254376690019858,3.5131103963830372,not_preferentially_represent
YLR154W-C,375,3873,2264.7109730597044,1380.834319,preferentially_represented,YLR154W-C,39833,9968.505099621236,53883.81134930398,preferentially_represented
YNR072W,1695,14147,8272.364093951881,1115.886425,preferentially_represented,YNR072W,1,0.2502574523541093,0.14773167199180004,not_preferentially_represent
YNL052W,462,3510,2052.4491390238995,1015.758544,preferentially_represented,YNL052W,792,198.20390226445457,429.9433888599882,not_preferentially_represent
YGR149W,1299,9754,5703.586581777527,1003.919623,preferentially_represented,YGR149W,234,58.560243850861575,45.11575027030938,not_preferentially_represent
YDR524W-C,90,673,393.5322708156936,999.764929,preferentially_represented,YDR524W-C,1149,287.5458127548716,3230.851828706422,not_preferentially_represent
YMR260C,462,3050,1783.4672005763232,882.6391907,preferentially_represented,YMR260C,1352,338.34807558275577,733.943764821596,not_preferentially_represent
YNL048W,1647,10752,6287.160439539877,872.8125851,preferentially_represented,YNL048W,89,22.272913259515725,13.531539039802993,not_preferentially_represent
YDL114W-A,114,717,419.2609779715487,840.8908901,preferentially_represented,YDL114W-A,2,0.5005149047082186,4.429335439895739,not_preferentially_represent
YHL015W,366,2246,1313.3335516375153,820.4535712,preferentially_represented,YHL015W,8238,2061.6208924931525,24838.80593365244,preferentially_represented
YMR258C,1662,9379,5484.307827608306,754.4854337,preferentially_represented,YMR258C,98,24.525230330702712,14.765340355630771,not_preferentially_represent
YNL049C,2631,14740,8619.116897211477,749.034771,preferentially_represented,YNL049C,172,43.0442818049068,16.36664707410905,not_preferentially_represent
YGR150C,2595,13861,8105.127497438824,714.1386603,preferentially_represented,YGR150C,24,6.0061788564986225,2.3154120495368633,not_preferentially_represent
YMR229C,5190,25482,14900.42990330684,656.4346491,preferentially_represented,YMR229C,297,74.32646334917045,14.323851098317684,not_preferentially_represent
YBR097W,4365,21094,12334.57610785474,646.10044,preferentially_represented,YBR097W,38,9.509783189456153,2.1791437189404568,not_preferentially_represent
YPL056C,306,1407,822.7338856429136,614.7492593,preferentially_represented,YPL056C,33,8.258495927685606,27.0770358284774,not_preferentially_represent
YGR148C,867,3815,2230.795859081532,588.3026274,preferentially_represented,YGR148C,3804,951.9793487550318,1099.283312650152,not_preferentially_represent
YDL115C,1132,4673,2732.5056486207077,551.9181768,preferentially_represented,YDL115C,30,7.507723570623279,6.638128709658071,not_preferentially_represent
YNR075W,1125,4349,2543.0488050185013,516.847272,preferentially_represented,YNR075W,48,12.012357712997245,10.687150990211073,not_preferentially_represent
YPL055C,999,3767,2202.728178547872,504.1450126,preferentially_represented,YPL055C,51,12.763130070059574,12.788707485029633,not_preferentially_represent
YHL016C,2208,8217,4804.83606135595,497.5532428,preferentially_represented,YHL016C,24,6.0061788564986225,2.7214222276840156,not_preferentially_represent
