name,region_length,reads,cpm_evseq,fpkm_evseq,gene_id,count,cpm_srr,fpkm_srr
YAL068C,363,0,0.0,0.0,YAL068C,4,1.0010298094164372,2.765275716619992
YAL067C,1782,209,122.21135899031198,68.58100953440626,YAL067C,5,1.2512872617705466,0.7025756663506718
YAL065C,387,12,7.0169201334150415,18.13157657213189,YAL065C,4,1.0010298094164372,2.593341475172117
YAL064C-A,381,16,9.355893511220057,24.556150948084134,YAL064C-A,2,0.5005149047082186,1.3171444860742594
YAL063C-A,291,32,18.711787022440113,64.30167361663268,YAL063C-A,4,1.0010298094164372,3.451826929022197
YAL063C,3969,12,7.0169201334150415,1.7679315024981208,YAL063C,97,24.2749728783486,83.70680302878829
YAL062W,1374,1,0.5847433444512535,0.42557739770833586,YAL062W,92,23.023685616578053,16.768889742591444
YAL061W,1254,1,0.5847433444512535,0.46630250753688474,YAL061W,110,27.528319758952023,21.969927980009594
YAL060W,1149,17,9.94063685567131,8.651555139835779,YAL060W,528,132.1359348429697,115.10098853917222
YAL059C-A,423,22,12.864353577927576,30.41218339935597,YAL059C-A,205,51.3027777325924,121.57056334737537
YAL059W,639,29,16.95755698908635,26.53764787024468,YAL059W,470,117.62100260643136,278.7227549915435
YAL058W,1509,72,42.10152080049025,27.90027886049718,YAL058W,158,39.540677471949266,26.22060840314938
YAL056C-A,351,15,8.771150166768802,24.98903181415613,YAL056C-A,36,9.009268284747934,25.740766527851243
YAL056W,2643,97,56.72010441177159,21.46050110169186,YAL056W,141,35.286300781929405,13.355904913675023
YAL055W,543,6,3.5084600667075208,6.461252424875728,YAL055W,16,4.004119237665749,7.387673870232009
YAL054C,2142,19,11.110123544573817,5.186799040417281,YAL054C,95,23.77445797364038,11.104370842428951
YAL053W,2352,18,10.525380200122562,4.475076615698368,YAL053W,1237,309.56846856203316,131.6752312046079
YAL051W,3144,96,56.13536106732033,17.85475860919858,YAL051W,27,6.756951213560951,2.1498413024374643
YAL049C,741,20,11.69486688902507,15.782546408940714,YAL049C,307,76.82903787271155,103.82302415231291
YAL048C,1989,40,23.38973377805014,11.759544383132297,YAL048C,40,10.010298094164373,5.035361214368396
YAL047W-A,330,55,32.16088394481894,97.45722407520891,YAL047W-A,3,0.7507723570623278,2.2819828482137625
YAL047C,1869,585,342.0748565039833,183.02560540609056,YAL047C,6,1.5015447141246556,0.8038247934286166
YAL046C,357,104,60.81330782293036,170.3454000642307,YAL046C,72,18.01853656949587,50.61386676824682
YAL045C,309,124,72.50817471195542,234.6542870937069,YAL045C,73,18.268794021849978,59.31426630470772
YAL044W-A,333,124,72.50817471195542,217.74226640226854,YAL044W-A,147,36.78784549605407,119.44105680537034
YAL044C,513,151,88.29624501213928,172.11743667083678,YAL044C,686,171.676612314919,335.30588342757613
YAL043C,2358,1017,594.6839813069248,252.19846535492994,YAL043C,373,93.34602972808277,39.60374617228798
YAL042C-A,378,239,139.75365932384958,369.7186754599195,YAL042C-A,233,58.30998639850746,154.66839893503305
YAL042W,1248,772,451.4218619163677,361.71623550991,YAL042W,1224,306.3151216814298,812.5069540621479
YAL041W,2565,1725,1008.6822691784123,393.2484480227728,YAL041W,37,9.259525737102043,3.611359491849471
YAL040C,1743,729,426.2778981049638,244.5656328772024,YAL040C,708,177.18227626670935,101.7119840796265
YAL039C,810,20,11.69486688902507,14.43810727040132,YAL039C,155,38.78990511488694,47.94796676747458
YAL038W,1503,60,35.08460066707521,23.34304768268477,YAL038W,70946,17754.765214714636,11820.749144284046
YAL037C-B,975,38,22.220247089147634,22.78999701451039,YAL037C-B,46452,11624.959176753086,11935.276362169492
YAL037C-A,93,7,4.0932034111587745,44.012939904933056,YAL037C-A,1,0.2502574523541093,2.720189699501188
YAL037W,804,15,8.771150166768802,10.909390754687564,YAL037W,9,2.2523170711869835,2.804878046310067
YAL036C,1110,44,25.72870715585515,23.179015455725363,YAL036C,534,133.63747955709437,120.50268670612657
YAL035W,3009,128,74.84714808976045,24.874426084998486,YAL035W,523,130.88464758119918,43.51218337140929
YAL034C-B,354,5,2.9237167222562674,8.259086786034654,YAL034C-B,3,0.7507723570623278,2.1268338726978127
YAL034W-A,870,19,11.110123544573817,12.770256947785995,YAL034W-A,13,3.253346880603421,3.7437823712352367
YAL034C,1242,26,15.20332695573259,12.241003990122858,YAL034C,111,27.778577211306132,78.69285328981907
YAL033W,522,2,1.169486688902507,2.240395955751929,YAL033W,297,74.32646334917045,142.66115805982813
YAL032C,1140,12,7.0169201334150415,6.155193099486879,YAL032C,68,17.01750676007943,14.940743424125928
YAL031W-A,309,6,3.5084600667075208,11.35423969808259,YAL031W-A,20,5.005149047082186,16.250483919098006
YAL031C,2283,33,19.296530366891364,8.452269105077251,YAL031C,93,23.273943068932162,75.56475022380573
YAL030W,467,19,11.110123544573817,23.790414442342218,YAL030W,143,35.78681568663763,76.79574181681895
YAL029C,4416,133,77.77086481201671,17.611155980982044,YAL029C,131,32.78372625838831,7.425532561356357
YAL028W,1587,187,109.3470054123844,68.90170473370158,YAL028W,23,5.755921404144513,3.629206433886831
YAL027W,786,120,70.16920133415042,89.27379304599289,YAL027W,32,8.008238475331497,10.201577675581525
YAL026C-A,438,82,47.94895424500278,109.47249827626206,YAL026C-A,8,2.0020596188328743,4.581372125475685
YAL026C,4068,286,167.2365965130585,41.11027446240376,YAL026C,47,11.762100260643136,26.915561237169648
YAL025C,921,60,35.08460066707521,38.09402895447905,YAL025C,109,27.278062306597914,29.65006772456295
YAL024C,4308,56,32.745627289270196,7.601120540684818,YAL024C,17,4.254376690019858,0.9877819108474246
YAL023C,2280,25,14.618583611281336,6.411659478632165,YAL023C,1932,483.49739794813917,212.15331195618216
YAL022C,1554,17,9.94063685567131,6.3968062134307,YAL022C,743,185.94128709910322,119.73038448107096
YAL021C,2514,8,4.677946755610028,1.86075845489659,YAL021C,652,163.16785893487926,64.92951012132083
YAL020C,1002,4,2.338973377805014,2.3343047682684768,YAL020C,165,41.292479638428034,41.251228410018015
YAL019W-A,570,0,0.0,0.0,YAL019W-A,65,16.266734403017104,28.58828541830774
YAL019W,3396,47,27.482937189208915,8.092737688224062,YAL019W,65,16.266734403017104,28.58828541830774
YAL018C,978,16,9.355893511220057,9.56635328345609,YAL018C,2,0.5005149047082186,0.5122977530278593
YAL017W,4071,88,51.4574143117103,12.639993689931295,YAL017W,62,15.515962045954774,3.8122756869667755
YAL016C-B,186,7,4.0932034111587745,22.006469952466528,YAL016C-B,1,0.2502574523541093,1.352742985697888
YAL016C-A,315,4,2.338973377805014,7.4253123104921075,YAL016C-A,36,9.009268284747934,28.69193721257304
YAL016W,1908,4,2.338973377805014,1.225877032392565,YAL016W,258,64.56642270736019,205.62555002344013
YAL015C,1200,0,0.0,0.0,YAL015C,81,20.270853640682855,16.906466756199208
YAL014C,768,76,44.44049417829527,57.86522679465529,YAL014C,128,32.03295390132599,41.7639555427979
YAL013W,1218,4,2.338973377805014,1.9203393906445105,YAL013W,84,21.021625997745183,17.273316349831703
YAL012W,1185,14,8.186406822317549,6.908360187609746,YAL012W,4406,1102.6343350722057,931.2789992163898
YAL011W,1878,92,53.79638768951531,28.64557384958217,YAL011W,19,4.754891594728076,2.5332400611231094
YAL010C,1482,62,36.25408735597771,24.462946933858106,YAL010C,21,5.255406499436296,3.5485526667361884
YAL009W,780,6,3.5084600667075208,4.498025726548104,YAL009W,97,24.2749728783486,31.161711012000772
YAL008W,597,0,0.0,0.0,YAL008W,18,4.504634142373967,7.558110977137529
YAL007C,648,1,0.5847433444512535,0.9023817044000825,YAL007C,282,70.57260156385881,109.07666393177561
YAL005C,1929,11,6.432176788963788,3.3344617879542704,YAL005C,1890,472.98658494926656,245.32499219360298
YAL004W,648,7,4.0932034111587745,6.316671930800577,YAL004W,424,106.10915979814234,164.00179257827256
